scenario,tes_sector,year,emissions_MtCO2e
Reference,Electricity supply,2034,28.1261297208766
Reference,Electricity supply,2035,29.2605566372262
Reference,Electricity supply,2036,28.4009072132439
Reference,Electricity supply,2037,28.2656911961343
Reference,Electricity supply,2038,28.6062307278768
Reference,Electricity supply,2039,28.963272944769
Reference,Electricity supply,2040,29.5198812211676
Reference,Electricity supply,2041,30.8259775974562
Reference,Electricity supply,2042,32.4651850532375
Reference,Electricity supply,2043,33.7091332749598
Reference,Electricity supply,2044,34.9374692351014
Reference,Electricity supply,2045,35.5473048143818
Reference,Electricity supply,2046,36.716490827931
Reference,Electricity supply,2047,37.7074584404175
Reference,Electricity supply,2048,39.0763344388822
Reference,Electricity supply,2049,39.6730553477563
Reference,Electricity supply,2050,40.9557563067436
Reference,Fuel supply,1990,77.1921705075374
Reference,Fuel supply,1991,78.080806528045
Reference,Fuel supply,1992,79.240786095642
Reference,Fuel supply,1993,78.9274931034911
Reference,Fuel supply,1994,71.4488522684982
Reference,Fuel supply,1995,74.8462179844523
Reference,Fuel supply,1996,74.6165741832361
Reference,Fuel supply,1997,72.7018598920015
Reference,Fuel supply,1998,71.0438362400115
Reference,Fuel supply,1999,65.3234999188802
Reference,Fuel supply,2000,63.2687728886619
Reference,Fuel supply,2001,62.8181938676178
Reference,Fuel supply,2002,63.2501068689334
Reference,Fuel supply,2003,59.7772256279829
Reference,Fuel supply,2004,58.2079142608196
Reference,Fuel supply,2005,57.567759616805
Reference,Fuel supply,2006,52.678877585612
Reference,Fuel supply,2007,51.295301221398
Reference,Fuel supply,2008,49.6781133916652
Reference,Fuel supply,2009,48.3029591852123
Reference,Fuel supply,2010,48.8104058593396
Reference,Fuel supply,2011,46.8191936196082
Reference,Fuel supply,2012,43.1372072471329
Reference,Fuel supply,2013,40.9578788876444
Reference,Fuel supply,2014,39.2561056479883
Reference,Fuel supply,2015,39.7391404221671
Reference,Fuel supply,2016,38.5572237627559
Reference,Fuel supply,2017,38.0441840088231
Reference,Fuel supply,2018,37.2623775880541
Reference,Fuel supply,2019,37.2744125292096
Reference,Fuel supply,2020,33.890099569038
Reference,Fuel supply,2021,31.2127086117806
Reference,Fuel supply,2022,31.3203218257937
Reference,Fuel supply,2023,30.0973856701954
Reference,Fuel supply,2024,30.8778260504873
Reference,Fuel supply,2025,30.2658254695764
Reference,Fuel supply,2026,29.1932605657737
Reference,Fuel supply,2027,28.4544842620398
Reference,Fuel supply,2028,27.4882280450994
Reference,Fuel supply,2029,26.5545715968214
Reference,Fuel supply,2030,25.1864098374098
Reference,Fuel supply,2031,23.7934098811212
Reference,Fuel supply,2032,22.9417320198205
Reference,Fuel supply,2033,21.84819398431
Reference,Fuel supply,2034,21.4106084762902
Reference,Fuel supply,2035,20.9778738156562
Reference,Fuel supply,2036,18.9773870688055
Reference,Fuel supply,2037,18.4652089176503
Reference,Fuel supply,2038,17.9315170635426
Reference,Fuel supply,2039,17.137796947027
Reference,Fuel supply,2040,16.7884072894959
Reference,Fuel supply,2041,15.5103772494186
Reference,Fuel supply,2042,14.7021518243046
Reference,Fuel supply,2043,14.3862689944892
Reference,Fuel supply,2044,14.3160778580124
Reference,Fuel supply,2045,14.2357378137783
Reference,Fuel supply,2046,14.1851599609522
Reference,Fuel supply,2047,14.1107690648716
Reference,Fuel supply,2048,13.8261216611143
Reference,Fuel supply,2049,13.4195977511561
Reference,Fuel supply,2050,13.2401066474921
Reference,IAS,1990,23.6473354671225
Reference,IAS,1991,23.2238117778929
Reference,IAS,1992,25.0674766754312
Reference,IAS,1993,26.0747083264046
Reference,IAS,1994,26.3369066614471
Reference,IAS,1995,28.0182830316568
Reference,IAS,1996,29.8201117831724
Reference,IAS,1997,32.1229921582173
Reference,IAS,1998,35.1033809909252
Reference,IAS,1999,34.8755183868604
Reference,IAS,2000,36.9154695816991
Reference,IAS,2001,36.7949293730316
Reference,IAS,2002,35.1065129919002
Reference,IAS,2003,35.3290054825154
Reference,IAS,2004,39.2287577125004
Reference,IAS,2005,41.7287887769468
Reference,IAS,2006,43.1749546520889
Reference,IAS,2007,43.0630188852149
Reference,IAS,2008,45.7803651854211
Reference,IAS,2009,44.2643082247738
Reference,IAS,2010,42.2289877562772
Reference,IAS,2011,43.0974906356033
Reference,IAS,2012,41.0569603929463
Reference,IAS,2013,42.036236940371
Reference,IAS,2014,41.401543395917
Reference,IAS,2015,41.4886704927752
Reference,IAS,2016,42.622749250422
Reference,IAS,2017,44.9002542634811
Reference,IAS,2018,44.4742068265647
Reference,IAS,2019,43.3719580381914
Reference,IAS,2020,21.234127938688
Reference,IAS,2021,19.9969338838027
Reference,IAS,2022,34.6580394217991
Reference,IAS,2023,39.4748838099595
Reference,IAS,2024,42.3310481934235
Reference,IAS,2025,42.6709123373074
Reference,IAS,2026,42.1515661275554
Reference,IAS,2027,41.9723848212771
Reference,IAS,2028,41.0235200162787
Reference,IAS,2029,41.2712917348442
Reference,IAS,2030,40.2550509807
Reference,IAS,2031,40.1744371287429
Reference,IAS,2032,39.8148793819014
Reference,IAS,2033,39.1131544836259
Reference,IAS,2034,38.5920769166463
Reference,IAS,2035,38.3843331382221
Reference,IAS,2036,37.7781414246568
Reference,IAS,2037,37.0109054828062
Reference,IAS,2038,36.8346312151507
Reference,IAS,2039,36.859755229299
Reference,IAS,2040,36.5757137461941
Reference,IAS,2041,37.0523524737419
Reference,IAS,2042,37.5819623734359
Reference,IAS,2043,37.5074395695807
Reference,IAS,2044,37.2031827960332
Reference,IAS,2045,36.7393215363397
Reference,IAS,2046,36.2480405962512
Reference,IAS,2047,35.5353123246789
Reference,IAS,2048,35.731052983795
Reference,IAS,2049,34.6046567857409
Reference,IAS,2050,34.0464399792679
Reference,Industry,1990,155.210183372017
Reference,Industry,1991,156.271859679161
Reference,Industry,1992,149.147325188655
Reference,Industry,1993,142.970505585164
Reference,Industry,1994,144.939171160249
Reference,Industry,1995,142.047617499013
Reference,Industry,1996,143.717639680949
Reference,Industry,1997,143.494795531567
Reference,Industry,1998,139.14103282832
Reference,Industry,1999,123.629330134691
Reference,Industry,2000,121.111452530912
Reference,Industry,2001,114.746283727103
Reference,Industry,2002,103.637049196788
Reference,Industry,2003,106.49000508903
Reference,Industry,2004,105.098079619397
Reference,Industry,2005,103.824137549561
