mini_scenario_id,quadrant_id,scenario_name,mini_scenario_label,uk_policy_delivery,external_conditions,domestic_delivery_score,external_shift,default_removals_credit_available_MtCO2e,post_2050_reduction_rate_MtCO2e_per_year_for_stress_test,tes_sector,sector_2050_MtCO2e_before_offsets,desnz_central_2050_MtCO2e,accelerated_anchor_2050_MtCO2e,delayed_delivery_2050_MtCO2e,external_dependency_score,clean_power_score
U1-2,U1,Aligned transition,strong,High,Supportive,0.85,0.1,50,10.881010487061245,Fuel supply,1.8960152888988269,13.2401066474921,0.0,21.66874615884375,0.6666666666666666,0.5
U1-2,U1,Aligned transition,strong,High,Supportive,0.85,0.1,50,10.881010487061245,Waste,2.168918740331833,11.6812776690764,0.0,15.7739544751406,0.16666666666666666,0.0
U1-2,U1,Aligned transition,strong,High,Supportive,0.85,0.1,50,10.881010487061245,LULUCF,0.4903449633775825,4.35862189668962,0.0,4.35862189668962,0.5,0.0
U1-3,U1,Aligned transition,front-loaded,High,Supportive,0.95,0.1,50,10.881010487061245,Buildings and product uses,0.0,84.5503891046146,0.0,84.5503891046146,0.3333333333333333,1.0
U1-3,U1,Aligned transition,front-loaded,High,Supportive,0.95,0.1,50,10.881010487061245,Domestic Transport,23.787366216473487,49.8833690620126,23.787366216473487,80.8490283887993,0.3333333333333333,1.0
U1-3,U1,Aligned transition,front-loaded,High,Supportive,0.95,0.1,50,10.881010487061245,Industry,0.0,47.3748288570278,0.0,50.21295474925616,1.0,0.5
U1-3,U1,Aligned transition,front-loaded,High,Supportive,0.95,0.1,50,10.881010487061245,Electricity supply,0.0,40.9557563067436,0.0,42.4446265379429,0.5,1.0
U1-3,U1,Aligned transition,front-loaded,High,Supportive,0.95,0.1,50,10.881010487061245,Agriculture,38.25313914408984,38.2005567333275,38.2005567333275,42.40714959431505,0.5,0.0
U1-3,U1,Aligned transition,front-loaded,High,Supportive,0.95,0.1,50,10.881010487061245,IAS,12.478539520291406,34.0464399792679,12.478539520291406,36.760661894613705,0.8333333333333334,0.0
U1-3,U1,Aligned transition,front-loaded,High,Supportive,0.95,0.1,50,10.881010487061245,Fuel supply,0.0,13.2401066474921,0.0,21.66874615884375,0.6666666666666666,0.5
U1-3,U1,Aligned transition,front-loaded,High,Supportive,0.95,0.1,50,10.881010487061245,Waste,0.591523292817774,11.6812776690764,0.0,15.7739544751406,0.16666666666666666,0.0
U1-3,U1,Aligned transition,front-loaded,High,Supportive,0.95,0.1,50,10.881010487061245,LULUCF,0.05448277370862087,4.35862189668962,0.0,4.35862189668962,0.5,0.0
U2-1,U2,Domestic delivery under external constraints,credible-but-costly,High,Constrained,0.65,-0.1,30,9.09697189143504,Buildings and product uses,33.82015564184584,84.5503891046146,0.0,84.5503891046146,0.3333333333333333,1.0
U2-1,U2,Domestic delivery under external constraints,credible-but-costly,High,Constrained,0.65,-0.1,30,9.09697189143504,Domestic Transport,46.612031085403814,49.8833690620126,23.787366216473487,80.8490283887993,0.3333333333333333,1.0
U2-1,U2,Domestic delivery under external constraints,credible-but-costly,High,Constrained,0.65,-0.1,30,9.09697189143504,Industry,21.968167702799573,47.3748288570278,0.0,50.21295474925616,1.0,0.5
U2-1,U2,Domestic delivery under external constraints,credible-but-costly,High,Constrained,0.65,-0.1,30,9.09697189143504,Electricity supply,17.508408446901445,40.9557563067436,0.0,42.4446265379429,0.5,1.0
U2-1,U2,Domestic delivery under external constraints,credible-but-costly,High,Constrained,0.65,-0.1,30,9.09697189143504,Agriculture,39.83061146696018,38.2005567333275,38.2005567333275,42.40714959431505,0.5,0.0
U2-1,U2,Domestic delivery under external constraints,credible-but-costly,High,Constrained,0.65,-0.1,30,9.09697189143504,IAS,22.494914999699354,34.0464399792679,12.478539520291406,36.760661894613705,0.8333333333333334,0.0
U2-1,U2,Domestic delivery under external constraints,credible-but-costly,High,Constrained,0.65,-0.1,30,9.09697189143504,Fuel supply,8.938357790523046,13.2401066474921,0.0,21.66874615884375,0.6666666666666666,0.5
U2-1,U2,Domestic delivery under external constraints,credible-but-costly,High,Constrained,0.65,-0.1,30,9.09697189143504,Waste,5.7180584972384665,11.6812776690764,0.0,15.7739544751406,0.16666666666666666,0.0
U2-1,U2,Domestic delivery under external constraints,credible-but-costly,High,Constrained,0.65,-0.1,30,9.09697189143504,LULUCF,1.6889659849672274,4.35862189668962,0.0,4.35862189668962,0.5,0.0
U2-2,U2,Domestic delivery under external constraints,strong-but-constrained,High,Constrained,0.75,-0.1,30,9.09697189143504,Buildings and product uses,25.365116731384383,84.5503891046146,0.0,84.5503891046146,0.3333333333333333,1.0
U2-2,U2,Domestic delivery under external constraints,strong-but-constrained,High,Constrained,0.75,-0.1,30,9.09697189143504,Domestic Transport,40.905864868171236,49.8833690620126,23.787366216473487,80.8490283887993,0.3333333333333333,1.0
U2-2,U2,Domestic delivery under external constraints,strong-but-constrained,High,Constrained,0.75,-0.1,30,9.09697189143504,Industry,16.946872227873953,47.3748288570278,0.0,50.21295474925616,1.0,0.5
U2-2,U2,Domestic delivery under external constraints,strong-but-constrained,High,Constrained,0.75,-0.1,30,9.09697189143504,Electricity supply,13.263945793107158,40.9557563067436,0.0,42.4446265379429,0.5,1.0
U2-2,U2,Domestic delivery under external constraints,strong-but-constrained,High,Constrained,0.75,-0.1,30,9.09697189143504,Agriculture,39.409952180861424,38.2005567333275,38.2005567333275,42.40714959431505,0.5,0.0
U2-2,U2,Domestic delivery under external constraints,strong-but-constrained,High,Constrained,0.75,-0.1,30,9.09697189143504,IAS,20.066702762267123,34.0464399792679,12.478539520291406,36.760661894613705,0.8333333333333334,0.0
U2-2,U2,Domestic delivery under external constraints,strong-but-constrained,High,Constrained,0.75,-0.1,30,9.09697189143504,Fuel supply,6.771483174638671,13.2401066474921,0.0,21.66874615884375,0.6666666666666666,0.5
U2-2,U2,Domestic delivery under external constraints,strong-but-constrained,High,Constrained,0.75,-0.1,30,9.09697189143504,Waste,4.140663049724408,11.6812776690764,0.0,15.7739544751406,0.16666666666666666,0.0
U2-2,U2,Domestic delivery under external constraints,strong-but-constrained,High,Constrained,0.75,-0.1,30,9.09697189143504,LULUCF,1.2531037952982658,4.35862189668962,0.0,4.35862189668962,0.5,0.0
U2-3,U2,Domestic delivery under external constraints,front-loaded-domestic,High,Constrained,0.85,-0.1,30,9.09697189143504,Buildings and product uses,16.910077820922922,84.5503891046146,0.0,84.5503891046146,0.3333333333333333,1.0
U2-3,U2,Domestic delivery under external constraints,front-loaded-domestic,High,Constrained,0.85,-0.1,30,9.09697189143504,Domestic Transport,35.19969865093865,49.8833690620126,23.787366216473487,80.8490283887993,0.3333333333333333,1.0
U2-3,U2,Domestic delivery under external constraints,front-loaded-domestic,High,Constrained,0.85,-0.1,30,9.09697189143504,Industry,11.925576752948338,47.3748288570278,0.0,50.21295474925616,1.0,0.5
U2-3,U2,Domestic delivery under external constraints,front-loaded-domestic,High,Constrained,0.85,-0.1,30,9.09697189143504,Electricity supply,9.019483139312868,40.9557563067436,0.0,42.4446265379429,0.5,1.0
U2-3,U2,Domestic delivery under external constraints,front-loaded-domestic,High,Constrained,0.85,-0.1,30,9.09697189143504,Agriculture,38.98929289476267,38.2005567333275,38.2005567333275,42.40714959431505,0.5,0.0
U2-3,U2,Domestic delivery under external constraints,front-loaded-domestic,High,Constrained,0.85,-0.1,30,9.09697189143504,IAS,17.638490524834896,34.0464399792679,12.478539520291406,36.760661894613705,0.8333333333333334,0.0
U2-3,U2,Domestic delivery under external constraints,front-loaded-domestic,High,Constrained,0.85,-0.1,30,9.09697189143504,Fuel supply,4.604608558754297,13.2401066474921,0.0,21.66874615884375,0.6666666666666666,0.5
U2-3,U2,Domestic delivery under external constraints,front-loaded-domestic,High,Constrained,0.85,-0.1,30,9.09697189143504,Waste,2.563267602210347,11.6812776690764,0.0,15.7739544751406,0.16666666666666666,0.0
U2-3,U2,Domestic delivery under external constraints,front-loaded-domestic,High,Constrained,0.85,-0.1,30,9.09697189143504,LULUCF,0.8172416056293037,4.35862189668962,0.0,4.35862189668962,0.5,0.0
